Geneid,Feature,Coefficient
CSF1,CD74,-0.00030654867298592016
CSF1,EGR1,0.0002901559144949184
CSF1,SPP1,0.000840812847728178
CSF1,THBS1,0.00014076249760708288
CSF1R,C7,0.0016967491927471847
CSF1R,CD74,-0.0013524419601230622
CSF1R,EGR1,0.0002261592857838801
CSF1R,THBS1,0.001822503929581131
CSF2,CD74,1.2719038654802794e-20
CSF2RB,THBS1,6.390597452065084e-05
CSF3R,CD74,-0.00012578309321598173
CTLA4,C7,5.039673845423037e-06
CTLA4,CD74,-3.902933756845343e-05
CTLA4,COL5A1,-0.0001517482266395303
CTLA4,EGR1,3.7792004131171293e-06
CTLA4,SPP1,-3.847122063431649e-05
CTLA4,THBS1,0.00022067871250343058
CTNNB1,APOE,0.000491044418693453
CTNNB1,ARID1A,0.011346977368588224
CTNNB1,ATM,-0.001923228519840977
CTNNB1,B2M,0.0066122697672553864
CTNNB1,C7,0.003594259483959748
CTNNB1,CD47,0.03699728687082484
CTNNB1,CD74,-0.009166918298662586
CTNNB1,CDH2,-0.0400808877202022
CTNNB1,COL11A1,0.0022083907158120773
CTNNB1,COL6A3,-0.004923154002160217
CTNNB1,EGR1,-0.006072982314735019
CTNNB1,ENO1,0.006595107316614516
CTNNB1,ERBB2,0.001037697759380555
CTNNB1,ESR1,-0.008955999295197435
CTNNB1,FGFR1,-0.005322390457541374
CTNNB1,HIF1A,-0.027336787529452632
CTNNB1,HLA-B,0.00958414763648445
CTNNB1,HLA-DPA1,0.004238631807425625
CTNNB1,IGF2R,0.01477309863191502
CTNNB1,ITGA6,0.0011785237794376437
CTNNB1,ITGAV,-0.006143628095974409
CTNNB1,LTBP1,0.002228310644709933
CTNNB1,MMP1,-0.004300071548762979
CTNNB1,MYC,0.015339151657196869
CTNNB1,NF1,0.0013172485783910018
CTNNB1,NOTCH1,-0.004010582883946552
CTNNB1,NOTCH2,0.032535038526780136
CTNNB1,RPL7A,-0.001560594987942354
CTNNB1,TFRC,-0.0066337270590966875
CTNNB1,THBS1,0.006285654536802419
CTNNB1,TPI1,0.007784311268635657
CTNNB1,UBB,0.001151926433623614
CTSS,CD74,-0.001695405223701322
CTSS,EGR1,0.0046469863729776215
CTSW,CD74,-5.844037854693162e-05
CTSW,COL6A3,-1.3901891024452622e-05
CTSW,EGR1,0.00010844069706369614
CX3CL1,A2M,0.0011764290838426976
CX3CL1,B2M,0.0005519753219357708
CX3CL1,C7,-0.00011021423009272883
CX3CL1,CDH11,-5.380180834253458e-05
CX3CL1,CENPF,0.0008752761760389207
CX3CL1,COL11A1,-0.00018338691297414857
CX3CL1,COL5A1,-0.001316310662548987
CX3CL1,COL6A3,3.4077643520349156e-05
CX3CL1,EGR1,0.0002743661715095436
CX3CL1,ESR1,0.0003594223152261532
CX3CL1,FGFR1,-0.0003215015987810423
CX3CL1,HIF1A,0.0008017732283225653
CX3CL1,HLA-B,-0.003135329245347231
CX3CL1,LTBP1,-0.00031657640856429237
CX3CL1,MKI67,0.0003993244986462548
CX3CL1,MX1,0.0029645632164002644
CX3CL1,NF1,-0.0037817477148145958
CX3CL1,NOTCH1,0.00021055792430010417
CX3CL1,PKM,0.001472902601163463
CX3CL1,POLR2A,0.0010057266270978038
CX3CL1,RPL23,-0.0013564773503831526
CX3CL1,RPL7A,0.00046284819605331786
CX3CL1,SPP1,-0.001071170069947567
CX3CL1,THBS1,0.0003403890543343866
CX3CL1,VCAN,0.00047159460139107836
CX3CR1,EGR1,7.673050990807573e-05
CXCL1,A2M,-0.0010962843106976483
CXCL1,CD74,0.0004412892398272863
CXCL1,ESR1,0.0011472009941205575
CXCL1,PKM,0.011254194866792347
CXCL1,SPP1,-0.0013548179454327
CXCL1,THBS1,0.0015720626129671078
CXCL1,VCAN,-0.001716812523279534
CXCL10,A2M,-0.0021165124196399153
CXCL10,APOE,-0.0016419920243286085
CXCL10,C7,0.0006745148766061624
CXCL10,CD74,0.001672708860550386
CXCL10,COL5A1,-0.009811497372968879
CXCL10,EGR1,-0.0008223135369154255
CXCL10,FGFR1,0.00413252366330467
